CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CCSDS_SPARE,X_LINEAR_ACCELERATION,X_ANGULAR_RATE,Y_LINEAR_ACCELERATION,Y_ANGULAR_RATE,Z_LINEAR_ACCELERATION,Z_ANGULAR_RATE
2342,49280,33,139,1310,0,0.00024084,-0.00795424,-0.000732504,0.001201034,0.000616349,-0.001731515
2342,49281,33,140,1310,0,-0.000557862,0.008735061,0.000982322,0.000914931,0.000653304,-0.001707673
2342,49282,33,141,1310,0,0.000228919,-0.007405877,-0.000675879,0.001057982,0.000567473,-0.001755357
2342,49283,33,142,1310,0,-0.000470243,0.007638335,0.000872649,0.000819564,0.000600852,-0.001755357
2342,49284,33,143,1310,0,0.000236072,-0.008550286,-0.000792108,0.001010299,0.000546016,-0.001826882
2342,49285,33,144,1310,0,-0.000506006,0.008115172,0.00087861,0.00077188,0.000535287,-0.001135468
2342,49286,33,145,1310,0,0.000152625,-0.008001924,-0.000654422,0.000914931,0.00073079,-0.004521012
2342,49287,33,146,1310,0,-0.000578128,0.008687377,0.001062192,0.000581145,0.000610389,-0.00282824
2342,49288,33,147,1310,0,0.000213422,-0.007525086,-0.00068482,0.000724196,0.000435151,-0.001874566
2342,49289,33,148,1310,0,-0.000604354,0.009068847,0.000985898,0.000438094,0.000410117,-0.001183152
2342,49290,33,149,1310,0,0.000230111,-0.007215142,-0.000687204,0.000628829,0.000295676,-0.00089705
2342,49291,33,150,1310,0,-0.000489913,0.007686019,0.000824966,0.000342727,0.000332631,-0.000873208
2342,49292,33,151,1310,0,0.000273027,-0.008454919,-0.000818931,0.001296401,0.000584163,-0.000944734
2342,49293,33,152,1310,0,-0.000637136,0.007638335,0.000835694,-0.002327561,-0.000910126,-0.000849366
2342,49294,33,153,1310,0,0.000193156,-0.008907914,-0.000855289,-0.000396371,-0.000165068,-0.00089705
2342,49295,33,154,1310,0,-0.000494085,0.007542968,0.00081066,8.9407E-06,0.000176467,-0.000849366
2342,49296,33,155,1310,0,0.000228919,-0.008812547,-0.000846945,0.000295043,0.000139512,-0.00089705
2342,49297,33,156,1310,0,-0.000504814,0.007686019,0.000826158,5.66244E-05,0.00018362,-0.000873208
2342,49298,33,157,1310,0,0.000243224,-0.008621812,-0.000829063,0.000628829,0.0002921,-0.000920892
2342,49299,33,158,1310,0,-0.000510179,0.007972121,0.000852384,0.000342727,0.000339784,-0.00089705
2342,49300,33,159,1310,0,0.000270642,-0.0082165,-0.000793897,0.001296401,0.000586547,-0.000968575
2342,49301,33,160,1310,0,-0.000658594,0.007876754,0.00086192,-0.002327561,-0.000914298,-0.000873208
2342,49302,33,161,1310,0,0.000190772,-0.008693337,-0.000830851,-0.000420213,-0.000174604,-0.000920892
2342,49303,33,162,1310,0,-0.000503026,0.00782907,0.000840463,0.000342727,0.000319518,-0.000873208
2342,49304,33,163,1310,0,0.000270642,-0.00833571,-0.000805221,0.001248717,0.000567473,-0.000944734
2342,49305,33,164,1310,0,-0.000650249,0.007733703,0.000848807,-0.002351403,-0.000929199,-0.000873208
2342,49306,33,165,1310,0,0.000190772,-0.008812547,-0.000843965,-0.000444055,-0.000187121,-0.00089705
2342,49307,33,166,1310,0,-0.000492893,0.007733703,0.000824966,0.000295043,0.000308789,-0.000849366
2342,49308,33,167,1310,0,0.000271834,-0.008478761,-0.000818931,0.001248717,0.000560321,-0.000944734
2342,49309,33,168,1310,0,-0.000638925,0.007590652,0.00083331,-0.002375245,-0.000933968,-0.000849366
2342,49310,33,169,1310,0,0.000190772,-0.008955598,-0.00085827,-0.000444055,-0.000188313,-0.000873208
2342,49311,33,170,1310,0,-0.000480972,0.007590652,0.00081066,0.000295043,0.000308789,-0.000849366
2342,49312,33,171,1310,0,0.000273027,-0.00859797,-0.000833236,0.001248717,0.000563897,-0.000920892
2342,49313,33,172,1310,0,-0.000626408,0.007495284,0.000819005,-0.002351403,-0.000926815,-0.000825524
2342,49315,33,174,1310,0,-0.000596605,0.008925796,0.000942983,0.000247359,0.000287332,-0.000801682
2342,49316,33,175,1310,0,0.000255145,-0.00731051,-0.000700913,0.001105666,0.000506677,-0.000873208
2342,49317,33,176,1310,0,-0.000588857,0.007161498,0.000783242,-0.002160668,-0.0008386,-0.000801682
2342,49318,33,177,1310,0,0.000205077,-0.009170175,-0.000882708,-0.000205636,-9.05618E-05,-0.000825524
2342,49319,33,178,1310,0,-0.000453554,0.007399917,0.000786819,0.000581145,0.000414886,-0.000801682
2342,49320,33,179,1310,0,0.000259914,-0.007644296,-0.000736676,0.001105666,0.000510253,-0.000873208
2342,49321,33,180,1310,0,-0.000712834,0.008401275,0.000908412,-0.002518296,-0.000992976,-0.000777841
2342,49322,33,181,1310,0,0.00019554,-0.008121133,-0.000777207,-0.000277162,-0.000120364,-0.000801682
2342,49323,33,182,1310,0,-0.000542961,0.008401275,0.000888146,0.000438094,0.000374354,-0.000777841
2342,49324,33,183,1310,0,0.000271834,-0.007739663,-0.000748597,0.001344085,0.000602044,-0.000849366
2342,49325,33,184,1310,0,-0.000686608,0.008353591,0.000848807,-0.002279878,-0.000943504,-8.64267E-05
2342,49326,33,185,1310,0,0.000163354,-0.008192658,-0.000749193,-0.000396371,-8.51974E-05,-0.001779199
2342,49327,33,186,1310,0,-0.000542365,0.008353591,0.000879802,0.000342727,0.000318326,-0.000730157
2342,49328,33,187,1310,0,0.00028614,-0.007858872,-0.00078436,0.001248717,0.00049118,-0.00013411
2342,49329,33,188,1310,0,-0.00053104,0.008830428,0.000848807,0.001296401,0.000684299,0.000199676
2342,49330,33,189,1310,0,4.29526E-05,-0.007787347,-0.00066217,-0.001874566,-0.000622831,-0.003138185
2342,49331,33,190,1310,0,-0.000611506,0.00859201,0.00095848,-0.00051558,-2.34693E-06,-0.001397729
2342,49332,33,191,1310,0,0.000251569,-0.007739663,-0.00075575,0.000724196,0.000287332,-0.000467896
2342,49333,33,192,1310,0,-0.000561439,0.008878112,0.000879802,0.00077188,0.000467338,-8.64267E-05
2342,49334,33,193,1310,0,0.000268258,-0.007358193,-0.0007331,0.000962615,0.000381507,-0.000157952
2342,49335,33,194,1310,0,-0.000454746,0.007590652,0.000757016,0.000724196,0.000444688,-0.00013411
2342,49336,33,195,1310,0,0.000281371,-0.008645654,-0.000859462,0.001010299,0.000393428,-0.000205636
2342,49337,33,196,1310,0,-0.000485741,0.007972121,0.000798739,0.00077188,0.000467338,-0.000181794
2342,49338,33,197,1310,0,0.000278987,-0.008264184,-0.000820123,0.001010299,0.000406541,-0.00025332
2342,49339,33,198,1310,0,-0.000519715,0.008353591,0.000841655,0.00077188,0.000475682,-0.000229478
2342,49340,33,199,1310,0,0.000273027,-0.007858872,-0.000780784,0.001010299,0.000402965,-0.000277162
2342,49341,33,200,1310,0,-0.000554882,0.008735061,0.000883378,0.000724196,0.000466146,-0.00025332
2342,49342,33,201,1310,0,0.000265874,-0.007501245,-0.000742637,0.000962615,0.000382699,-0.000324845
2342,49343,33,202,1310,0,-0.000441037,0.0074476,0.000709333,0.000724196,0.000385083,0.00039041
2342,49344,33,203,1310,0,0.000290908,-0.007501245,-0.00078138,0.000962615,0.000304021,0.000628829
2342,49345,33,204,1310,0,-0.000594221,0.006970763,0.000865497,-0.00230372,-0.000770055,-0.002279878
2342,49346,33,205,1310,0,0.000196733,-0.009384751,-0.000904165,-0.000348687,-0.00014361,-0.000992417
2342,49347,33,206,1310,0,-0.000447594,0.007066131,0.00072483,0.000104308,0.000156201,-0.000277162
2342,49348,33,207,1310,0,0.00024084,-0.007978082,-0.000786744,0.000342727,0.00011567,-0.000324845
2342,49349,33,208,1310,0,-0.000567399,0.008496642,0.000869073,5.66244E-05,0.000165738,-0.000277162
2342,49350,33,209,1310,0,0.000238456,-0.007882714,-0.000776015,0.000295043,9.8981E-05,-0.000348687
