t,risk,state,main_flag,time,pos,vel,imu,stale,heading,frozen,frozen_time
206387135.983,0.35,1,7,0,0,0,0,0,0,7,15.50
206387136.483,0.35,1,7,0,0,0,0,0,0,7,16.00
206387136.733,0.35,1,7,0,0,0,0,0,0,7,16.25
206387136.983,0.35,1,7,0,0,0,0,0,0,7,16.50
206387137.233,0.35,1,7,0,0,0,0,0,0,7,16.75
206387137.483,0.35,1,7,0,0,0,0,0,0,7,17.00
206387137.733,0.35,1,7,0,0,0,0,0,0,7,17.25
206387137.983,0.35,1,7,0,0,0,0,0,0,7,17.50
206387138.233,0.35,1,7,0,0,0,0,0,0,7,17.75
206387138.483,0.35,1,7,0,0,0,0,0,0,7,18.00
206387138.733,0.35,1,7,0,0,0,0,0,0,7,18.25
206387138.983,0.35,1,7,0,0,0,0,0,0,7,18.50
206387139.233,0.35,1,7,0,0,0,0,0,0,7,18.75
206387139.733,0.35,1,7,0,0,0,0,0,0,7,19.25
206387139.983,0.35,1,7,0,0,0,0,0,0,7,19.50
206387140.233,0.35,1,7,0,0,0,0,0,0,7,19.75
206387140.483,0.35,1,7,0,0,0,0,0,0,7,20.00
206387140.733,0.35,1,7,0,0,0,0,0,0,7,20.25
206387140.983,0.35,1,7,0,0,0,0,0,0,7,20.50
206387141.233,0.35,1,7,0,0,0,0,0,0,7,20.75
206387141.483,0.35,1,7,0,0,0,0,0,0,7,21.00
206387141.733,0.35,1,7,0,0,0,0,0,0,7,21.25
206387141.983,0.35,1,7,0,0,0,0,0,0,7,21.50
206387142.233,0.35,1,7,0,0,0,0,0,0,7,21.75
206387142.483,0.35,1,7,0,0,0,0,0,0,7,22.00
206387142.733,0.35,1,7,0,0,0,0,0,0,7,22.25
206387142.983,0.35,1,7,0,0,0,0,0,0,7,22.50
206387143.233,0.35,1,7,0,0,0,0,0,0,7,22.75
206387143.483,0.35,1,7,0,0,0,0,0,0,7,23.00
206387143.983,0.35,1,7,0,0,0,0,0,0,7,23.50
206387144.233,0.35,1,7,0,0,0,0,0,0,7,23.75
206387144.483,0.35,1,7,0,0,0,0,0,0,7,24.00
206387144.733,0.35,1,7,0,0,0,0,0,0,7,24.25
206387144.983,0.35,1,7,0,0,0,0,0,0,7,24.50
206387145.233,0.35,1,7,0,0,0,0,0,0,7,24.75
206387145.483,0.35,1,7,0,0,0,0,0,0,7,25.00
206387145.733,0.35,1,7,0,0,0,0,0,0,7,25.25
206387145.983,0.35,1,7,0,0,0,0,0,0,7,25.50
206387146.233,0.35,1,7,0,0,0,0,0,0,7,25.75
206387146.483,0.35,1,7,0,0,0,0,0,0,7,26.00
206387146.733,0.35,1,7,0,0,0,0,0,0,7,26.25
206387146.983,0.35,1,7,0,0,0,0,0,0,7,26.50
206387147.233,0.35,1,7,0,0,0,0,0,0,7,26.75
206387147.483,0.35,1,7,0,0,0,0,0,0,7,27.00
206387147.733,0.35,1,7,0,0,0,0,0,0,7,27.25
206387147.983,0.35,1,7,0,0,0,0,0,0,7,27.50
206387148.233,0.35,1,7,0,0,0,0,0,0,7,27.75
206387148.733,0.35,1,7,0,0,0,0,0,0,7,28.25
206387148.983,0.35,1,7,0,0,0,0,0,0,7,28.50
206387149.233,0.35,1,7,0,0,0,0,0,0,7,28.75
206387149.483,0.35,1,7,0,0,0,0,0,0,7,29.00
206387149.733,0.35,1,7,0,0,0,0,0,0,7,29.25
206387149.983,0.35,1,7,0,0,0,0,0,0,7,29.50
206387150.233,0.35,1,7,0,0,0,0,0,0,7,29.75
206387150.483,0.35,1,7,0,0,0,0,0,0,7,30.00
206387150.733,0.35,1,7,0,0,0,0,0,0,7,30.25
206387150.983,0.35,1,7,0,0,0,0,0,0,7,30.50
206387151.233,0.35,1,7,0,0,0,0,0,0,7,30.75
206387151.483,0.35,1,7,0,0,0,0,0,0,7,31.00
206387151.733,0.35,1,7,0,0,0,0,0,0,7,31.25
206387151.983,0.35,1,7,0,0,0,0,0,0,7,31.50
206387152.233,0.35,1,7,0,0,0,0,0,0,7,31.75
206387152.483,0.35,1,7,0,0,0,0,0,0,7,32.00
206387152.733,0.35,1,7,0,0,0,0,0,0,7,32.25
206387152.983,0.35,1,7,0,0,0,0,0,0,7,32.50
206387153.483,0.35,1,7,0,0,0,0,0,0,7,33.00
206387153.733,0.35,1,7,0,0,0,0,0,0,7,33.25
206387153.983,0.35,1,7,0,0,0,0,0,0,7,33.50
206387154.233,0.35,1,7,0,0,0,0,0,0,7,33.75
206387154.483,0.35,1,7,0,0,0,0,0,0,7,34.00
206387154.733,0.35,1,7,0,0,0,0,0,0,7,34.25
206387154.983,0.35,1,7,0,0,0,0,0,0,7,34.50
206387155.233,0.35,1,7,0,0,0,0,0,0,7,34.75
206387155.483,0.35,1,7,0,0,0,0,0,0,7,35.00
206387155.733,0.35,1,7,0,0,0,0,0,0,7,35.25
206387155.983,0.35,1,7,0,0,0,0,0,0,7,35.50
206387156.233,0.35,1,7,0,0,0,0,0,0,7,35.75
206387156.483,0.35,1,7,0,0,0,0,0,0,7,36.00
206387156.733,0.35,1,7,0,0,0,0,0,0,7,36.25
206387156.983,0.35,1,7,0,0,0,0,0,0,7,36.50
206387157.233,0.35,1,7,0,0,0,0,0,0,7,36.75
206387157.483,0.35,1,7,0,0,0,0,0,0,7,37.00
206387157.733,0.35,1,7,0,0,0,0,0,0,7,37.25
206387157.733,0.50,1,3,1,0,3,0,0,0,0,0.00
206387158.483,0.00,0,0,0,0,0,0,0,0,0,0.75
206387158.733,0.00,0,0,0,0,0,0,0,0,0,1.00
206387158.983,0.00,0,0,0,0,0,0,0,0,0,1.25
206387159.233,0.00,0,0,0,0,0,0,0,0,0,1.50
206387159.483,0.00,0,0,0,0,0,0,0,0,0,1.75
206387159.733,0.00,0,0,0,0,0,0,0,0,0,2.00
206387159.983,0.00,0,0,0,0,0,0,0,0,0,2.25
206387160.233,0.00,0,0,0,0,0,0,0,0,0,2.50
206387160.483,0.00,0,0,0,0,0,0,0,0,0,2.75
206387160.733,0.00,0,0,0,0,0,0,0,0,0,3.00
206387160.983,0.00,0,0,0,0,0,0,0,0,0,3.25
206387161.233,0.00,0,0,0,0,0,0,0,0,0,3.50
206387161.483,0.00,0,0,0,0,0,0,0,0,0,3.75
206387161.733,0.00,0,0,0,0,0,0,0,0,0,4.00
206387161.983,0.00,0,0,0,0,0,0,0,0,0,4.25
206387162.233,0.00,0,0,0,0,0,0,0,0,0,4.50
206387162.483,0.00,0,0,0,0,0,0,0,0,0,4.75
206387162.733,0.35,1,7,0,0,0,0,0,0,7,5.00
206387162.983,0.35,1,7,0,0,0,0,0,0,7,5.25
206387163.233,0.35,1,7,0,0,0,0,0,0,7,5.50
206387163.483,0.35,1,7,0,0,0,0,0,0,7,5.75
206387163.733,0.35,1,7,0,0,0,0,0,0,7,6.00
206387163.733,0.50,1,3,1,0,3,0,0,0,0,0.00
206387163.733,0.50,1,3,1,0,3,0,0,0,0,0.00
206387164.483,0.00,0,0,0,0,0,0,0,0,0,0.75
206387164.733,0.00,0,0,0,0,0,0,0,0,0,1.00
206387164.983,0.00,0,0,0,0,0,0,0,0,0,1.25
206387165.233,0.00,0,0,0,0,0,0,0,0,0,1.50
206387165.483,0.00,0,0,0,0,0,0,0,0,0,1.75
206387165.733,0.00,0,0,0,0,0,0,0,0,0,2.00
206387165.983,0.00,0,0,0,0,0,0,0,0,0,2.25
206387166.233,0.00,0,0,0,0,0,0,0,0,0,2.50
206387166.483,0.00,0,0,0,0,0,0,0,0,0,2.75
206387166.733,0.00,0,0,0,0,0,0,0,0,0,3.00
206387166.983,0.00,0,0,0,0,0,0,0,0,0,3.25
206387167.233,0.00,0,0,0,0,0,0,0,0,0,3.50
206387167.483,0.00,0,0,0,0,0,0,0,0,0,3.75
206387167.733,0.00,0,0,0,0,0,0,0,0,0,4.00
206387167.983,0.00,0,0,0,0,0,0,0,0,0,4.25
206387168.233,0.00,0,0,0,0,0,0,0,0,0,4.50
206387168.483,0.00,0,0,0,0,0,0,0,0,0,4.75
206387168.983,0.35,1,7,0,0,0,0,0,0,7,5.25
206387169.233,0.35,1,7,0,0,0,0,0,0,7,5.50
206387169.483,0.35,1,7,0,0,0,0,0,0,7,5.75
206387169.733,0.35,1,7,0,0,0,0,0,0,7,6.00
206387169.983,0.35,1,7,0,0,0,0,0,0,7,6.25
206387170.233,0.35,1,7,0,0,0,0,0,0,7,6.50
206387170.483,0.35,1,7,0,0,0,0,0,0,7,6.75
206387170.733,0.35,1,7,0,0,0,0,0,0,7,7.00
206387170.983,0.35,1,7,0,0,0,0,0,0,7,7.25
206387171.233,0.35,1,7,0,0,0,0,0,0,7,7.50
206387171.483,0.35,1,7,0,0,0,0,0,0,7,7.75
206387171.733,0.35,1,7,0,0,0,0,0,0,7,8.00
206387171.983,0.35,1,7,0,0,0,0,0,0,7,8.25
206387172.233,0.35,1,7,0,0,0,0,0,0,7,8.50
206387172.233,0.50,1,3,1,0,3,0,0,0,0,0.00
206387172.733,0.00,0,0,0,0,0,0,0,0,0,0.50
206387172.983,0.00,0,0,0,0,0,0,0,0,0,0.75
206387173.233,0.00,0,0,0,0,0,0,0,0,0,1.00
206387173.483,0.00,0,0,0,0,0,0,0,0,0,1.25
206387173.733,0.00,0,0,0,0,0,0,0,0,0,1.50
206387173.983,0.00,0,0,0,0,0,0,0,0,0,1.75
206387174.233,0.00,0,0,0,0,0,0,0,0,0,2.00
206387174.483,0.00,0,0,0,0,0,0,0,0,0,2.25
206387174.733,0.00,0,0,0,0,0,0,0,0,0,2.50
206387174.983,0.00,0,0,0,0,0,0,0,0,0,2.75
206387175.233,0.00,0,0,0,0,0,0,0,0,0,3.00
206387175.483,0.00,0,0,0,0,0,0,0,0,0,3.25
206387175.733,0.00,0,0,0,0,0,0,0,0,0,3.50
206387175.983,0.00,0,0,0,0,0,0,0,0,0,3.75
206387176.233,0.00,0,0,0,0,0,0,0,0,0,4.00
206387176.483,0.00,0,0,0,0,0,0,0,0,0,4.25
206387176.733,0.00,0,0,0,0,0,0,0,0,0,4.50
206387176.983,0.00,0,0,0,0,0,0,0,0,0,4.75
206387177.233,0.35,1,7,0,0,0,0,0,0,7,5.00
206387177.233,0.50,1,3,1,0,3,0,0,0,0,0.00
206387177.733,0.00,0,0,0,0,0,0,0,0,0,0.50
206387177.983,0.00,0,0,0,0,0,0,0,0,0,0.75
206387178.233,0.00,0,0,0,0,0,0,0,0,0,1.00
206387178.483,0.00,0,0,0,0,0,0,0,0,0,1.25
206387178.733,0.00,0,0,0,0,0,0,0,0,0,1.50
206387179.483,0.00,0,0,0,0,0,0,0,0,0,2.25
206387179.733,0.00,0,0,0,0,0,0,0,0,0,2.50
206387179.983,0.00,0,0,0,0,0,0,0,0,0,2.75
206387180.233,0.00,0,0,0,0,0,0,0,0,0,3.00
206387180.483,0.00,0,0,0,0,0,0,0,0,0,3.25
206387180.733,0.00,0,0,0,0,0,0,0,0,0,3.50
206387180.983,0.00,0,0,0,0,0,0,0,0,0,3.75
206387181.233,0.00,0,0,0,0,0,0,0,0,0,4.00
206387181.483,0.00,0,0,0,0,0,0,0,0,0,4.25
206387181.733,0.00,0,0,0,0,0,0,0,0,0,4.50
206387181.983,0.00,0,0,0,0,0,0,0,0,0,4.75
206387182.233,0.35,1,7,0,0,0,0,0,0,7,5.00
206387182.483,0.35,1,7,0,0,0,0,0,0,7,5.25
206387182.733,0.35,1,7,0,0,0,0,0,0,7,5.50
206387183.483,0.35,1,7,0,0,0,0,0,0,7,6.25
206387183.733,0.35,1,7,0,0,0,0,0,0,7,6.50
206387183.983,0.35,1,7,0,0,0,0,0,0,7,6.75
206387184.233,0.35,1,7,0,0,0,0,0,0,7,7.00
206387184.483,0.35,1,7,0,0,0,0,0,0,7,7.25
206387184.733,0.35,1,7,0,0,0,0,0,0,7,7.50
206387184.983,0.35,1,7,0,0,0,0,0,0,7,7.75
206387185.233,0.35,1,7,0,0,0,0,0,0,7,8.00
206387185.483,0.35,1,7,0,0,0,0,0,0,7,8.25
206387185.733,0.35,1,7,0,0,0,0,0,0,7,8.50
206387185.983,0.35,1,7,0,0,0,0,0,0,7,8.75
206387186.233,0.35,1,7,0,0,0,0,0,0,7,9.00
206387186.483,0.35,1,7,0,0,0,0,0,0,7,9.25
206387186.483,0.50,1,3,1,0,3,0,0,0,0,0.00
206387186.983,0.00,0,0,0,0,0,0,0,0,0,0.50
206387187.233,0.00,0,0,0,0,0,0,0,0,0,0.75
206387187.483,0.00,0,0,0,0,0,0,0,0,0,1.00
206387187.733,0.00,0,0,0,0,0,0,0,0,0,1.25
206387187.983,0.00,0,0,0,0,0,0,0,0,0,1.50
206387188.233,0.00,0,0,0,0,0,0,0,0,0,1.75
206387188.483,0.00,0,0,0,0,0,0,0,0,0,2.00
206387188.733,0.00,0,0,0,0,0,0,0,0,0,2.25
206387188.983,0.00,0,0,0,0,0,0,0,0,0,2.50
206387189.233,0.00,0,0,0,0,0,0,0,0,0,2.75
206387189.483,0.00,0,0,0,0,0,0,0,0,0,3.00
206387189.733,0.00,0,0,0,0,0,0,0,0,0,3.25
206387189.983,0.00,0,0,0,0,0,0,0,0,0,3.50
206387190.233,0.00,0,0,0,0,0,0,0,0,0,3.75
206387190.233,0.50,1,3,1,0,3,0,0,0,0,0.00
206387190.233,0.50,1,3,1,0,3,0,0,0,0,0.00
206387190.983,0.00,0,0,0,0,0,0,0,0,0,0.75
206387191.233,0.00,0,0,0,0,0,0,0,0,0,1.00
206387191.483,0.00,0,0,0,0,0,0,0,0,0,1.25
206387191.733,0.00,0,0,0,0,0,0,0,0,0,1.50
206387191.983,0.00,0,0,0,0,0,0,0,0,0,1.75
206387192.233,0.00,0,0,0,0,0,0,0,0,0,2.00
206387192.483,0.00,0,0,0,0,0,0,0,0,0,2.25
206387192.733,0.00,0,0,0,0,0,0,0,0,0,2.50
206387192.983,0.00,0,0,0,0,0,0,0,0,0,2.75
206387193.233,0.00,0,0,0,0,0,0,0,0,0,3.00
206387193.483,0.00,0,0,0,0,0,0,0,0,0,3.25
206387193.733,0.00,0,0,0,0,0,0,0,0,0,3.50
